site,project,demo_category,full_density_km2,n_deployments
1254,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.04244249736746388,3
1254,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1275,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1275,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1275,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1275,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1276,ABMI Ecosystem Health 2015,Moose Adult Female,0.03673979394442513,4
1276,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1276,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1276,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1277,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1277,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1277,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.02020721859273608,4
1277,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1284,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1284,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1284,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1284,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1285,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1285,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1285,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.23147764922392897,4
1285,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
13,ABMI Ecosystem Health 2015,Moose Adult Female,0.11540764743904983,4
13,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
13,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
13,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1303,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1303,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1303,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1303,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1304,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1304,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1304,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1304,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1305,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1305,ABMI Ecosystem Health 2015,Moose Adult Male,2.403712287164888,4
1305,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.08942311731456312,4
1305,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1312,ABMI Ecosystem Health 2016,Moose Adult Female,0,3
1312,ABMI Ecosystem Health 2016,Moose Adult Male,0,3
1312,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,3
1312,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,3
1313,ABMI Ecosystem Health 2016,Moose Adult Female,0.21718881260974074,4
1313,ABMI Ecosystem Health 2016,Moose Adult Male,0.4050904582077023,4
1313,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.04194792465874441,4
1313,ABMI Ecosystem Health 2016,Moose Juv Unkn,0.18398996790577107,4
1314,ABMI Ecosystem Health 2016,Moose Adult Female,0,3
1314,ABMI Ecosystem Health 2016,Moose Adult Male,0,3
1314,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,3
1314,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,3
1332,ABMI Ecosystem Health 2015,Moose Adult Female,0.11201422599663478,3
1332,ABMI Ecosystem Health 2015,Moose Adult Male,0.023085768223935654,3
1332,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1332,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.002983334470628578,3
1333,ABMI Ecosystem Health 2015,Moose Adult Female,0.1163096180532355,4
1333,ABMI Ecosystem Health 2015,Moose Adult Male,0.5940117200038116,4
1333,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.1663294103098905,4
1333,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1334,ABMI Ecosystem Health 2015,Moose Adult Female,4.945703028566655,4
1334,ABMI Ecosystem Health 2015,Moose Adult Male,3.4048499449285567,4
1334,ABMI Ecosystem Health 2015,Moose Adult Unkn,3.4142503220626206,4
1334,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.12430063317594989,4
1341,ABMI Ecosystem Health 2016,Moose Adult Female,3.0631906219239404,4
1341,ABMI Ecosystem Health 2016,Moose Adult Male,2.0663336429779355,4
1341,ABMI Ecosystem Health 2016,Moose Adult Unkn,1.0414641602769117,4
1341,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1342,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1342,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1342,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1342,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1343,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1343,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1343,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1343,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1362,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1362,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1362,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1362,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1363,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1363,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1363,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1363,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1364,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1364,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1364,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1364,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1368,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1368,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1368,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1368,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1369,ABMI Ecosystem Health 2015,Moose Adult Female,0.24640019067563843,4
1369,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1369,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.08527567090541247,4
1369,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1370,ABMI Ecosystem Health 2015,Moose Adult Female,0,3
1370,ABMI Ecosystem Health 2015,Moose Adult Male,0,3
1370,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1370,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1387,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1387,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1387,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1387,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1388B,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1388B,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1388B,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1388B,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1389,ABMI Ecosystem Health 2016,Moose Adult Female,0.014851620785164655,4
1389,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1389,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1389,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1393,ABMI Ecosystem Health 2015,Moose Adult Female,0,3
1393,ABMI Ecosystem Health 2015,Moose Adult Male,0,3
1393,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1393,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1394,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1394,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1394,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1394,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1395,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1395,ABMI Ecosystem Health 2015,Moose Adult Male,0.011492613334104113,4
1395,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1395,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
14,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
14,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
14,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
14,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1412,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1412,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1412,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1412,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1413,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1413,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1413,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1413,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1417,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1417,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1417,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1417,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1418,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1418,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1418,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1418,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1419,ABMI Ecosystem Health 2015,Moose Adult Female,0,2
1419,ABMI Ecosystem Health 2015,Moose Adult Male,0,2
1419,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,2
1419,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,2
1428,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1428,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1428,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.09055522524732215,4
1428,ABMI Ecosystem Health 2016,Moose Juv Unkn,0.1579360694269774,4
1429,ABMI Ecosystem Health 2016,Moose Adult Female,0.05846026489621771,4
1429,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1429,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.021570174816751615,4
1429,ABMI Ecosystem Health 2016,Moose Juv Unkn,0.15401478888781192,4
1430,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1430,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1430,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1430,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1434,ABMI Ecosystem Health 2015,Moose Adult Female,0.8855028338851549,4
1434,ABMI Ecosystem Health 2015,Moose Adult Male,0.03392575092588605,4
1434,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.05884703659789365,4
1434,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.5613390682861596,4
1435,ABMI Ecosystem Health 2015,Moose Adult Female,0.0063803635354284325,4
1435,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1435,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1435,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1436,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1436,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1436,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1436,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1443,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1443,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1443,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1443,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1450,ABMI Ecosystem Health 2016,Moose Adult Female,3.4560045844531437,4
1450,ABMI Ecosystem Health 2016,Moose Adult Male,3.410043576558789,4
1450,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.6725165106193691,4
1450,ABMI Ecosystem Health 2016,Moose Juv Unkn,2.485178684878331,4
1451,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1451,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1451,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1451,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1452B,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1452B,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1452B,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1452B,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1456,ABMI Ecosystem Health 2015,Moose Adult Female,0,1
1456,ABMI Ecosystem Health 2015,Moose Adult Male,0,1
1456,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,1
1456,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,1
1457,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1457,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1457,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1457,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1458,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1458,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1458,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1458,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1465,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1465,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1465,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1465,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1471,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1471,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1471,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1471,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1472,ABMI Ecosystem Health 2016,Moose Adult Female,0,2
1472,ABMI Ecosystem Health 2016,Moose Adult Male,0,2
1472,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,2
1472,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,2
1473,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1473,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1473,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1473,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1477,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1477,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1477,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1477,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1478,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1478,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1478,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1478,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1479,ABMI Ecosystem Health 2015,Moose Adult Female,0,3
1479,ABMI Ecosystem Health 2015,Moose Adult Male,0,3
1479,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1479,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1486,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1486,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1486,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1486,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1491,ABMI Ecosystem Health 2015,Moose Adult Female,0.03206504165984222,4
1491,ABMI Ecosystem Health 2015,Moose Adult Male,0.03328481018452968,4
1491,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.35431203985258275,4
1491,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1492,ABMI Ecosystem Health 2015,Moose Adult Female,0.029632739381766443,4
1492,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1492,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.006288801269766806,4
1492,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1493B,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1493B,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1493B,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1493B,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
15,ABMI Ecosystem Health 2015,Moose Adult Female,0.15435314079822154,4
15,ABMI Ecosystem Health 2015,Moose Adult Male,0.397763071732388,4
15,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.11818839912503945,4
15,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1500,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1500,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1500,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1500,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1501,ABMI Ecosystem Health 2016,Moose Adult Female,0,2
1501,ABMI Ecosystem Health 2016,Moose Adult Male,0,2
1501,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,2
1501,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,2
1502,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1502,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1502,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1502,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1506,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1506,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1506,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1506,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1510,ABMI Ecosystem Health 2015,Moose Adult Female,0.8145219226905112,4
1510,ABMI Ecosystem Health 2015,Moose Adult Male,1.032050603872814,4
1510,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.2603517245593997,4
1510,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.09811949480057167,4
1511,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1511,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1511,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1511,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1512,ABMI Ecosystem Health 2015,Moose Adult Female,0.23244108675538278,4
1512,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1512,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.010935208359035964,4
1512,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1519,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1519,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1519,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1519,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1520,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1520,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1520,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1520,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1521,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1521,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1521,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1521,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1525B,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1525B,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1525B,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1525B,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1526,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1526,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1526,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1526,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1529,ABMI Ecosystem Health 2015,Moose Adult Female,3.5653426090629576,4
1529,ABMI Ecosystem Health 2015,Moose Adult Male,0.7284128247901038,4
1529,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.21100840256071043,4
1529,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1530,ABMI Ecosystem Health 2015,Moose Adult Female,0.0230204809712815,4
1530,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1530,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.009565426344062341,4
1530,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.021899226419013235,4
1531,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1531,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1531,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1531,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1538,ABMI Ecosystem Health 2016,Moose Adult Female,0,3
1538,ABMI Ecosystem Health 2016,Moose Adult Male,0,3
1538,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,3
1538,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,3
1539,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1539,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1539,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1539,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1540,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1540,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1540,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1540,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1544,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1544,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1544,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
