location_project,demo_category,season,total_season_days,total_duration,density_km2
1023-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,85,0,0
1023-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,0,0
1023-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,85,13.06200670438623,0.12130197022914875
1023-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,0,0
1023-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,21,0,0
1023-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,49,0,0
1023-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,21,10.531003352193114,0.3922603934353623
1023-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,49,0,0
1023-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,21,33.06200670438623,1.2314985879217586
1023-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,0,0
1023-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,21,0,0
1023-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,85,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,49,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,85,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,49,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,85,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,85,0,0
1023-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,0,0
1024-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,86,0,0
1024-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,0,0
1024-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,86,0,0
1024-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,0,0
1024-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,86,59.593010056579345,0.542062368722943
1024-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,70.32750838048278,1.099183524959742
1024-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,86,0,0
1024-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,0,0
1024-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,86,3704.7750838048278,33.69940539707025
1024-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,0,0
1024-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,86,124.53100335219311,1.1327599305055553
1024-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,397.0082002904493,6.205130513698424
1024-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,86,31.573797776923435,0.28720183739653765
1024-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,118.06200670438622,1.8452771498772451
1024-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,86,602.538333081882,5.480814110028976
1024-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,86,2.2655016760965574,0.020607168587805137
